day,RT_count,followers_count,sentiment,binary_opinion,year,week_number,norm_followers_count,norm_RT_count,tweet_value,stablity,indicator,macron,fillion,lePen,hamon
2016-12-12,1027600.0,38731613.0,4409.45,4464,15017184.0,372450.0,1.1494219550511935,7458.909067240099,1.149642911808315,0.641119846882403,0.5576686815508325,0.8672925789113834,0.0909479128826377,0.35948191427111353,0.9898969141184202
2016-12-13,730899.0,58263520.0,5779.75,5669,21155904.0,524700.0,1.7290622279677408,10501.048002468588,1.7293236605150086,0.8239327682726878,0.47644798199737404,0.8826598634746468,0.11849560742355653,0.2907435416150281,0.9971148477597174
2016-12-14,416009.0,46612364.0,4572.5,4755,17230752.0,427350.0,1.383295721725761,8551.011542578324,1.3834527711696627,0.5578586040750824,0.4032364643741555,0.6436177664191501,0.10619977022410765,0.8409002677725732,0.9952905677054037
2016-12-15,276526.0,38966890.0,3661.5499999999997,3804,14156352.0,351100.0,1.156404172634504,7024.66651880852,1.1565099880039802,0.5493839053672224,0.4750360230916844,0.6933732377555768,0.22595875079953132,0.31676595312011896,0.9995161590023491
2016-12-16,314624.0,44253742.0,3557.7999999999997,3561,12712896.0,315300.0,1.31329987852484,6309.033894872858,1.3134242504303357,0.6477381363204642,0.4931674865210054,0.9558815911861875,0.13893035533184298,0.23953196524128312,0.9997526321453424
2016-12-17,1031014.0,18137955.0,3820.1,3670,13063680.0,324000.0,0.5382725397140204,6489.941988177777,0.5385129811241952,0.22689251181652478,0.42133155517043597,0.4764793877488128,0.14209493634561327,0.2595538461683329,1.0
2016-12-18,1940625.0,26194133.0,4362.55,4206,15674400.0,388750.0,0.7773523804374216,7793.713296625941,0.7778475609008337,0.42809491891438134,0.5503583740991614,0.9169177027804334,0.311502465388276,0.38850949731921547,0.9961848382723856
2016-12-19,527207.0,45422148.0,3690.7999999999997,3866,14555520.0,368220.0,1.3479741769800462,7225.083816283039,1.3481939365591764,0.7916607541123071,0.5872009453868053,0.9753855607544224,0.05969833856899952,0.10377745846043154,0.9265122392441639
2016-12-20,427956.0,15203425.0,2889.5499999999997,2999,10327968.0,261273.0,0.45118571454729217,5127.126746574351,0.4513636987163649,0.3152612114211072,0.6984638160261445,0.965323285730731,0.20050638293292453,0.09336497120362751,1.0
2016-12-21,532111.0,20154760.0,3337.15,3115,12642336.0,319821.0,0.598124422104176,6276.131105175356,0.5982994829599129,0.348618364781429,0.5826820425395337,0.9050181831342059,0.16692836342193473,0.38579366994031766,0.9904402733458244
2016-12-22,365753.0,27798626.0,2911.6,2821,10842048.0,274278.0,0.8249682512488425,5381.526927861296,0.8250946508537156,0.37267941771548363,0.4516808069593915,0.666150330569332,0.131625386855554,0.6574878662054432,0.9843347651744052
